RBP,module
FDPS,ME14
FRG1,ME14
FTO,ME14
GFM2,ME14
GOLGB1,ME14
GPATCH1,ME14
GPATCH8,ME14
GPKOW,ME14
GRB2,ME14
GSPT2,ME14
GTF2E2,ME14
GTF2F1,ME14
GTF2H2,ME14
GTPBP1,ME14
GTPBP2,ME14
HARS2,ME14
HDGF,ME14
HLA-A,ME14
HLA-A,ME14
HLA-A,ME14
HLA-A,ME14
HLA-A,ME14
HLA-A,ME14
HLA-A,ME14
HLA-A,ME14
HMGB1,ME14
HMGN5,ME14
HNRNPA0,ME14
HNRNPF,ME14
HSP90AA1,ME14
HSP90B1,ME14
HSPA8,ME14
HSPB1,ME14
HTATSF1,ME14
ICT1,ME14
ILF3,ME14
IMMT,ME14
IMPDH1,ME14
JUN,ME14
KHNYN,ME14
KRCC1,ME14
LLPH,ME14
LRRFIP1,ME14
LSM10,ME14
LSM11,ME14
MAP4,ME14
MAPRE1,ME14
MECP2,ME14
MEPCE,ME14
METTL14,ME14
METTL3,ME14
MEX3C,ME14
MFAP1,ME14
MKI67,ME14
MKRN1,ME14
MOV10,ME14
MRM1,ME14
MRPL10,ME14
MRPL14,ME14
MRPL32,ME14
MRPL37,ME14
MRPL44,ME14
MRPL54,ME14
MRPS30,ME14
MRPS6,ME14
MSN,ME14
MTHFSD,ME14
NANOS1,ME14
NCBP2,ME14
NCOA5,ME14
NDUFV3,ME14
NGRN,ME14
NOP10,ME14
NOP2,ME14
NOP56,ME14
NOP9,ME14
NR3C1,ME14
NSRP1,ME14
NSUN5P2,ME14
NSUN6,ME14
NUDT16,ME14
NUDT4,ME14
NUFIP1,ME14
NUFIP2,ME14
NUSAP1,ME14
P4HB,ME14
PAIP2,ME14
PATL1,ME14
PCBP1,ME14
PDAP1,ME14
PDIA4,ME14
PEBP1,ME14
PEF1,ME14
PFN1,ME14
PNN,ME14
POLDIP3,ME14
POP7,ME14
PPAN,ME14
PPIB,ME14
PRKRIP1,ME14
PRPF3,ME14
PRPF38B,ME14
PRPF39,ME14
PTCD1,ME14
PTPN1,ME14
PURA,ME14
PURB,ME14
R3HDM2,ME14
RALY,ME14
RARA,ME14
RAVER1,ME14
RAVER2,ME14
RBM10,ME14
RBM12B,ME14
RBM15,ME14
RBM15B,ME14
RBM22,ME14
RBM33,ME14
RBM38,ME14
RBM4,ME14
RBM41,ME14
RBM43,ME14
RBM45,ME14
RBM4B,ME14
RBMS2,ME14
RBMX2,ME14
RC3H1,ME14
RNPS1,ME14
RP9,ME14
RPL12,ME14
RPL27,ME14
RPL34,ME14
RPL35,ME14
RPL39L,ME14
RPN1,ME14
RPS15A,ME14
RPS16,ME14
RRP8,ME14
RSRC2,ME14
SARS,ME14
SCAF4,ME14
SERBP1,ME14
SF3A1,ME14
SF3B4,ME14
SF3B5,ME14
SFPQ,ME14
SLBP,ME14
SLC25A5,ME14
SMARCE1,ME14
SMG7,ME14
SNIP1,ME14
SNRNP70,ME14
SNRPE,ME14
SNRPGP15,ME14
SRFBP1,ME14
SRSF2,ME14
SRSF4,ME14
SRSF6,ME14
SRSF8,ME14
SRSF8,ME14
STAU1,ME14
SUGP1,ME14
SUGP2,ME14
SUMO1,ME14
SURF6,ME14
SYNCRIP,ME14
TARDBP,ME14
TCF20,ME14
TDRD3,ME14
TEP1,ME14
THRAP3,ME14
TLR9,ME14
TLR9,ME14
TPD52L2,ME14
TRIM21,ME14
TRIM25,ME14
TRIM56,ME14
TRIP6,ME14
TUBB4B,ME14
UBC,ME14
UBE2L3,ME14
UPF1,ME14
UPF3A,ME14
UTP14A,ME14
UTP23,ME14
UTP3,ME14
WBP11,ME14
WRAP53,ME14
WTAP,ME14
YARS,ME14
YBX1,ME14
YRDC,ME14
YTHDF1,ME14
YWHAG,ME14
ZC3H12A,ME14
ZC3H13,ME14
ZC3H4,ME14
ZCCHC17,ME14
ZCCHC9,ME14
ZCRB1,ME14
ZFP36L2,ME14
ZNF106,ME14
ZNF346,ME14
ZNF622,ME14
ZRSR2,ME14
ZYX,ME14
CNOT7,ME15
EIF4E,ME15
FTO,ME15
HERC5,ME15
KIF1C,ME15
METTL14,ME15
METTL3,ME15
NUPL2,ME15
POLR2G,ME15
PSTK,ME15
TES,ME15
TRA2A,ME15
WTAP,ME15
AHNAK2,ME16
BMS1,ME16
CCDC86,ME16
CCNT2,ME16
FAM98A,ME16
FTO,ME16
HEATR6,ME16
KIF1C,ME16
LRRC59,ME16
METTL14,ME16
METTL3,ME16
PRPF39,ME16
RANGAP1,ME16
RBM42,ME16
RBMS2,ME16
REXO4,ME16
SPTBN1,ME16
STAU1,ME16
TUBB4B,ME16
WTAP,ME16
EIF3C,ME17
FTO,ME17
METTL14,ME17
METTL3,ME17
MSN,ME17
NBPF10,ME17
PTPN1,ME17
RBM43,ME17
WTAP,ME17
ZC3H13,ME17
AQR,ME18
EYA1,ME18
FTO,ME18
METTL14,ME18
METTL3,ME18
NAT10,ME18
PRRC2C,ME18
PURG,ME18
RPL29,ME18
WTAP,ME18
CCNT2,ME19
CKAP4,ME19
DDX54,ME19
FAM98A,ME19
FASN,ME19
FSCN1,ME19
FTO,ME19
KIF1C,ME19
METTL14,ME19
METTL3,ME19
MEX3D,ME19
NSUN5P2,ME19
PFN1,ME19
PRPF39,ME19
PTPN1,ME19
RPL30,ME19
RPS7,ME19
RRBP1,ME19
RTN4,ME19
SCAF1,ME19
SMG6,ME19
SPTBN1,ME19
STAU1,ME19
THOC1,ME19
WTAP,ME19
ZNF579,ME19
ANP32A,ME20
DDX17,ME20
DHX15,ME20
FTO,ME20
HNRNPLL,ME20
MCAT,ME20
METTL14,ME20
METTL3,ME20
MSI1,ME20
POLR2G,ME20
RPS25,ME20
RPS7,ME20
SRSF12,ME20
SRSF3,ME20
SRSF7,ME20
THOC1,ME20
TRA2B,ME20
WTAP,ME20
ALKBH5,ME21
APOBEC3F,ME21
BOP1,ME21
C11orf68,ME21
C7orf50,ME21
CARS,ME21
CBX4,ME21
CBX6,ME21
CSDC2,ME21
CSTF3,ME21
CTU1,ME21
DGCR8,ME21
DUSP14,ME21
EEF1D,ME21
EFTUD2,ME21
EIF3M,ME21
EXOSC6,ME21
EXOSC8,ME21
FTO,ME21
HDAC2,ME21
HNRNPA0,ME21
HSPB1,ME21
JUN,ME21
LARP6,ME21
LSM6,ME21
MBD2,ME21
METTL14,ME21
METTL3,ME21
MEX3D,ME21
MRM1,ME21
MRPL28,ME21
MRPL42,ME21
NANOS1,ME21
NSUN5P2,ME21
PAPD5,ME21
PLEC,ME21
PPIB,ME21
PRPF40A,ME21
PTCD1,ME21
PURA,ME21
RALY,ME21
RPL24,ME21
RPL34,ME21
SAMD4A,ME21
SARS,ME21
TRNT1,ME21
TUBB4B,ME21
WDR33,ME21
WTAP,ME21
YTHDF1,ME21
ZFP36L1,ME21
ZNF579,ME21
ZNF598,ME21
ADAR,ME22
CCAR1,ME22
CHCHD1,ME22
CNOT4,ME22
CPSF3,ME22
CTU2,ME22
DDX17,ME22
DHX15,ME22
FTO,ME22
METTL14,ME22
METTL3,ME22
NUDT21,ME22
PNISR,ME22
PSIP1,ME22
RSRC2,ME22
SF3B1,ME22
SSBP1,ME22
SUGP2,ME22
TCERG1,ME22
WTAP,ME22
ZFC3H1,ME22
ZNF638,ME22
ANXA11,ME23
FTO,ME23
HMGB1,ME23
IFIT1,ME23
METTL14,ME23
METTL3,ME23
NUPL2,ME23
POLR2G,ME23
SMARCE1,ME23
SOX2,ME23
SRSF3,ME23
SUMO2,ME23
TES,ME23
TRA2B,ME23
WTAP,ME23
AATF,ME25
ADAT1,ME25
AHNAK,ME25
AKAP8,ME25
AKAP8L,ME25
ALDOA,ME25
ALKBH8,ME25
ANKRD17,ME25
APOBEC3B,ME25
ARCN1,ME25
ARF1,ME25
BAZ2A,ME25
CBX8,ME25
CDK13,ME25
CHD2,ME25
CMSS1,ME25
CWC22,ME25
DBR1,ME25
DCP1A,ME25
DCP2,ME25
DDX19B,ME25
DDX59,ME25
DIAPH1,ME25
DIDO1,ME25
DUSP11,ME25
EDC3,ME25
EEFSEC,ME25
EIF1AD,ME25
EIF2B5,ME25
EIF2D,ME25
EIF2S3L,ME25
EIF3A,ME25
EIF3C,ME25
EIF3F,ME25
EIF3J,ME25
EMG1,ME25
FAM133B,ME25
FAM32A,ME25
FAM46A,ME25
FARS2,ME25
FDPS,ME25
FRG1,ME25
FTO,ME25
GOLGB1,ME25
GRB2,ME25
GTF2F1,ME25
GTPBP1,ME25
HARS2,ME25
HDGF,ME25
HLA-A,ME25
HLA-A,ME25
HLA-A,ME25
HLA-A,ME25
HLA-A,ME25
HLA-A,ME25
HLA-A,ME25
HLA-A,ME25
HTATSF1,ME25
IMMT,ME25
IMPDH1,ME25
KRCC1,ME25
LLPH,ME25
LRRFIP1,ME25
LSM11,ME25
MAP4,ME25
MECP2,ME25
MEPCE,ME25
METTL14,ME25
METTL3,ME25
MEX3C,ME25
MKI67,ME25
MKRN1,ME25
MOV10,ME25
MRM1,ME25
MRPL32,ME25
MSN,ME25
MTHFSD,ME25
NANOS1,ME25
NBPF10,ME25
NCBP2,ME25
NDUFV3,ME25
NFX1,ME25
NSRP1,ME25
NSUN5P2,ME25
NUFIP1,ME25
NUFIP2,ME25
P4HB,ME25
PATL1,ME25
PCBP1,ME25
PEBP1,ME25
PNN,ME25
POLDIP3,ME25
PRPF38B,ME25
PTCD1,ME25
PTPN1,ME25
PURA,ME25
PURB,ME25
R3HDM2,ME25
RARA,ME25
RAVER1,ME25
RBM15B,ME25
RBM43,ME25
RBM4B,ME25
RBMX2,ME25
RNASEL,ME25
RPGR,ME25
RPL32,ME25
RPL35,ME25
RPN1,ME25
RPS16,ME25
RRP8,ME25
RSRC2,ME25
SCAF4,ME25
SF3B5,ME25
SMG1,ME25
SNRPGP15,ME25
SON,ME25
SRFBP1,ME25
SRSF2,ME25
SRSF4,ME25
SUGP1,ME25
SUGP2,ME25
SYNCRIP,ME25
TCF20,ME25
TEP1,ME25
THRAP3,ME25
TPD52L2,ME25
TRIM21,ME25
TRIM25,ME25
TRIM56,ME25
TRIP6,ME25
TUBB4B,ME25
UBC,ME25
UPF1,ME25
UTP3,ME25
WRAP53,ME25
WTAP,ME25
YARS,ME25
YWHAG,ME25
ZC3H12A,ME25
ZC3H13,ME25
ZC3HAV1,ME25
ZCCHC6,ME25
ZCCHC9,ME25
ZNF106,ME25
ZRSR2,ME25
CALR,ME26
FTO,ME26
GANAB,ME26
HSP90B1,ME26
MANF,ME26
METTL14,ME26
METTL3,ME26
PDIA3,ME26
PDIA4,ME26
TLR9,ME26
TLR9,ME26
WTAP,ME26
ANXA1,ME27
EIF3F,ME27
FTO,ME27
GDI2,ME27
GRB7,ME27
METTL14,ME27
METTL3,ME27
RBM47,ME27
RPL13AP3,ME27
TBL2,ME27
USP10,ME27
VIM,ME27
WTAP,ME27
ANXA1,ME28
CARHSP1,ME28
CELF5,ME28
DDX25,ME28
EIF1B,ME28
EIF3F,ME28
ESRP1,ME28
ESRP2,ME28
FBLL1,ME28
FNDC3A,ME28
FTO,ME28
GRB7,ME28
KDM2B,ME28
KNOP1,ME28
L1TD1,ME28
LGALS1,ME28
LIN28A,ME28
MBNL1,ME28
MBNL2,ME28
METTL14,ME28
METTL3,ME28
MTDH,ME28
NABP1,ME28
NBPF10,ME28
NSUN7,ME28
PRDM14,ME28
RBFOX3,ME28
RBPMS2,ME28
SCG3,ME28
SOX11,ME28
TRIM71,ME28
VIM,ME28
WTAP,ME28
XRCC5,ME28
ZMAT4,ME28
ANXA11,ME29
CELF2,ME29
DHX38,ME29
EIF4G1,ME29
EIF5A,ME29
EIF5B,ME29
EZR,ME29
FAM120A,ME29
FLNA,ME29
FTO,ME29
GOT2,ME29
HDLBP,ME29
HUWE1,ME29
KIF1C,ME29
LARP6,ME29
MAP4,ME29
METTL14,ME29
METTL3,ME29
MFAP1,ME29
NUPL2,ME29
NXF3,ME29
RBM17,ME29
RNF20,ME29
RPS11,ME29
SF3A1,ME29
SNRPB2,ME29
SPTBN1,ME29
TCOF1,ME29
TES,ME29
WT1,ME29
WTAP,ME29
EYA1,ME30
FTO,ME30
GOLGB1,ME30
METTL14,ME30
METTL3,ME30
PTPN1,ME30
RPL29,ME30
SND1,ME30
WTAP,ME30
ZC3H12A,ME30
AHNAK,ME31
AKAP8,ME31
AKAP8L,ME31
ALKBH8,ME31
ARID5A,ME31
AUH,ME31
BRCA1,ME31
BUD13,ME31
C14orf93,ME31
C7orf50,ME31
CBX4,ME31
CBX8,ME31
CD3EAP,ME31
CDK13,ME31
CMSS1,ME31
CORO1A,ME31
CPSF7,ME31
CRKL,ME31
CWC22,ME31
DCP1A,ME31
DDX1,ME31
DDX12P,ME31
DDX19B,ME31
DDX55,ME31
DDX59,ME31
DIAPH1,ME31
DNAJC17,ME31
DTD1,ME31
DUSP11,ME31
EEFSEC,ME31
EIF1,ME31
EIF1AD,ME31
EIF2B5,ME31
EIF2D,ME31
EIF2S3L,ME31
EIF3C,ME31
EIF3F,ME31
EIF4A3,ME31
ELAVL1,ME31
EMG1,ME31
FAM120C,ME31
FAM133B,ME31
FAM32A,ME31
FAM46A,ME31
FARS2,ME31
FASTKD1,ME31
FRG1,ME31
FTO,ME31
FTSJ3,ME31
GPATCH1,ME31
GRB2,ME31
GTPBP1,ME31
GTPBP2,ME31
HADHB,ME31
HDGF,ME31
HMGB1,ME31
HMGB2,ME31
HNRNPDL,ME31
IMPDH1,ME31
KDM1A,ME31
KRCC1,ME31
KRT18,ME31
LLPH,ME31
LSM11,ME31
LUC7L3,ME31
MECP2,ME31
MEPCE,ME31
METTL14,ME31
METTL3,ME31
MKRN1,ME31
MRM1,ME31
MRPS6,ME31
MSN,ME31
MTHFSD,ME31
MTRF1,ME31
NCBP2,ME31
NDUFV3,ME31
NOL8,ME31
NOP56,ME31
NSRP1,ME31
NSUN3,ME31
NSUN6,ME31
NUFIP2,ME31
NUPL2,ME31
PABPC1L,ME31
PATL1,ME31
PCBP1,ME31
PCF11,ME31
PEBP1,ME31
PNISR,ME31
POLDIP3,ME31
PRKRIP1,ME31
PRPF3,ME31
PRPF38B,ME31
PRPF40B,ME31
PURB,ME31
R3HDM2,ME31
RARA,ME31
RAVER1,ME31
RBBP6,ME31
RBM12B,ME31
RBM22,ME31
RBM38,ME31
RBM43,ME31
RBM45,ME31
RBM48,ME31
RBM4B,ME31
RBMX2,ME31
RNASEL,ME31
RPL12,ME31
RPL13AP3,ME31
RPL19,ME31
RPL26,ME31
RPL32,ME31
RPP25L,ME31
RPS10,ME31
RPS28,ME31
RSL24D1,ME31
RSRC2,ME31
SCAF4,ME31
SEPSECS,ME31
SF3B5,ME31
SLBP,ME31
SMARCE1,ME31
SMG5,ME31
SNRPGP15,ME31
SORBS2,ME31
SRFBP1,ME31
SRSF2,ME31
SRSF6,ME31
SRSF8,ME31
SRSF8,ME31
SUGP1,ME31
SUGP2,ME31
TBL2,ME31
TCF20,ME31
TDRD7,ME31
TEP1,ME31
TRA2B,ME31
TRIM21,ME31
TRIM56,ME31
TRIP6,ME31
TSR1,ME31
UBC,ME31
WRAP53,ME31
WTAP,ME31
YWHAG,ME31
ZC3H12A,ME31
ZC3H8,ME31
ZC3HAV1,ME31
ZCCHC9,ME31
ZFP36L2,ME31
ZFR,ME31
ZRSR2,ME31
ADD1,ME32
AKAP8L,ME32
CNOT4,ME32
CWC15,ME32
DDX19B,ME32
DDX24,ME32
DDX59,ME32
EIF3J,ME32
FAM32A,ME32
FTO,ME32
FYTTD1,ME32
KRCC1,ME32
METTL14,ME32
METTL3,ME32
MKRN1,ME32
MRPL27,ME32
MSN,ME32
NOP10,ME32
PNISR,ME32
PTPN1,ME32
RBM4,ME32
RBM43,ME32
RBMX2,ME32
RPL26,ME32
RSRC2,ME32
SAP18,ME32
SMARCE1,ME32
SRFBP1,ME32
SRSF9,ME32
SUGP2,ME32
UBE2N,ME32
WTAP,ME32
ZC3HAV1,ME32
ZNF106,ME32
ZRSR2,ME32
ACO1,ME33
ACTN1,ME33
AHNAK2,ME33
ANXA2,ME33
ARHGEF28,ME33
BST2,ME33
CELF2,ME33
CKAP4,ME33
CORO1A,ME33
CYFIP1,ME33
DARS,ME33
DYNC1H1,ME33
EIF3L,ME33
EIF4G1,ME33
FAM98A,ME33
FLNB,ME33
FTO,ME33
HDLBP,ME33
HNRNPDL,ME33
KIF1C,ME33
LRRC59,ME33
MBNL2,ME33
METTL14,ME33
METTL3,ME33
NQO1,ME33
POLR2D,ME33
RBFOX2,ME33
RBMS2,ME33
RBMS3,ME33
RPL15,ME33
RRBP1,ME33
RTN4,ME33
S100A16,ME33
SAMD4A,ME33
SERPINH1,ME33
SMAD3,ME33
SPTBN1,ME33
SRSF3,ME33
SUPT6H,ME33
WTAP,ME33
XPO5,ME33
DDX50,ME34
FTO,ME34
METTL14,ME34
METTL3,ME34
WTAP,ME34
AATF,ME35
AHNAK,ME35
EIF2D,ME35
EIF2S3L,ME35
EIF3A,ME35
EIF3J,ME35
EZR,ME35
FTO,ME35
GOLGB1,ME35
GRB2,ME35
HDGF,ME35
LRRFIP1,ME35
MBD2,ME35
METTL14,ME35
METTL3,ME35
MRPL18,ME35
MSI2,ME35
MSN,ME35
MYH9,ME35
NABP1,ME35
PABPC3,ME35
RBM25,ME35
RFTN1,ME35
RPL39L,ME35
SNUPN,ME35
SRFBP1,ME35
SRP68,ME35
SRSF4,ME35
USP36,ME35
UTP3,ME35
WTAP,ME35
YARS,ME35
YWHAE,ME35
ZC3H12A,ME35
FTO,ME36
